"ISO3","word","n","total","tf","idf","tf_idf"
"ZAF","africa",22,1054,0.0208728652751423,0.725235495111446,0.0151377427822123
"ZAF","world",21,1054,0.0199240986717268,0.0159154553058996,0.0003171011019202
"RUS","world",19,1326,0.0143288084464555,0.0159154553058996,0.000228049510416359
"UKR","russia",19,677,0.0280649926144756,1.23969088692802,0.0347919155858675
"BRA","world",18,1130,0.015929203539823,0.0159154553058996,0.00025352052699663
"UKR","war",17,677,0.0251107828655835,0.305381649551182,0.00766837229301343
"ZAF","nations",17,1054,0.0161290322580645,0.0485270408946604,0.000782694207978393
"RUS","west",16,1326,0.0120663650075415,1.48582395646692,0.0179284941956793
"ZAF","african",16,1054,0.015180265654649,0.852574917488047,0.012942313737959
"BRA","countries",15,1130,0.0132743362831858,0.0375379193190652,0.00049829096441237
"UKR","ukraine",15,677,0.0221565731166913,0.502091943797236,0.0111246368640451
"ZAF","countries",15,1054,0.0142314990512334,0.0375379193190652,0.000534220863174553
"RUS","global",14,1326,0.0105580693815988,0.0765400771223344,0.000808115444730529
"ZAF","south",14,1054,0.0132827324478178,0.80437281567017,0.0106842688988448
"IND","global",13,814,0.015970515970516,0.0765400771223344,0.00122238452406677
"IND","india",12,814,0.0147420147420147,2.60796674254523,0.0384466841652859
"IND","nations",12,814,0.0147420147420147,0.0485270408946604,0.000715386352255436
"RUS","countries",12,1326,0.00904977375565611,0.0375379193190652,0.000339709677095613
"ZAF","conflict",12,1054,0.0113851992409867,0.451233526563745,0.00513738360414131
"ZAF","global",12,1054,0.0113851992409867,0.0765400771223344,0.000871424027958266
"ZAF","peace",12,1054,0.0113851992409867,0.0430173850836909,0.00048976150000407
"BRA","brazil",11,1130,0.00973451327433628,3.16758253048065,0.0308348741905196
"RUS","nato",11,1326,0.00829562594268477,2.76211742237249,0.0229134929457748
"ZAF","support",11,1054,0.0104364326375712,0.105360515657826,0.00109958792432267
"UKR","nuclear",10,677,0.0147710487444609,1.23969088692802,0.0183115345188776
"ZAF","development",10,1054,0.0094876660341556,0.0708743395866571,0.000672432064389536
"ZAF","women",10,1054,0.0094876660341556,0.57419523769858,0.00544777265368672
"IND","president",9,814,0.0110565110565111,0.010582109330537,0.000117001208814291
"RUS","europe",9,1326,0.00678733031674208,1.08814098880081,0.00738557232217747
"RUS","security",9,1326,0.00678733031674208,0.0596382663197312,0.00040478461302985
"RUS","war",9,1326,0.00678733031674208,0.305381649551182,0.00207272612817544
"ZAF","people",9,1054,0.00853889943074004,0.0212773984472849,0.00018168556548915
"BRA","amazon",8,1130,0.00707964601769911,3.63758615972639,0.0257528223697443
"BRA","global",8,1130,0.00707964601769911,0.0765400771223344,0.000541876652193518
"BRA","inequality",8,1130,0.00707964601769911,1.44036158239017,0.0101972501408153
"BRA","president",8,1130,0.00707964601769911,0.010582109330537,7.4917588180793e-05
"IND","development",8,814,0.00982800982800983,0.0708743395866571,0.000696553706011372
"IND","world",8,814,0.00982800982800983,0.0159154553058996,0.000156417251163632
"UKR","peace",8,677,0.0118168389955687,0.0430173850836909,0.000508329513544353
"ZAF","assembly",8,1054,0.00759013282732448,0.0485270408946604,0.000368326686107479
"ZAF","community",8,1054,0.00759013282732448,0.197168064910949,0.00149653180198064
"ZAF","human",8,1054,0.00759013282732448,0.165619707176023,0.0012570755762886
"ZAF","united",8,1054,0.00759013282732448,0.065240521868401,0.000495184226705131
"ZAF","war",8,1054,0.00759013282732448,0.305381649551182,0.00231788728312093
"BRA","sustainable",7,1130,0.00619469026548673,0.123060092757227,0.000762319158673089
"IND","g20",7,814,0.0085995085995086,1.87972824217401,0.0161647391833146
"RUS","eu",7,1326,0.0052790346907994,1.988927534139,0.0104996174502059
"RUS","washington",7,1326,0.0052790346907994,3.30111392310517,0.0174266949183531
"RUS","western",7,1326,0.0052790346907994,1.78128816936076,0.009403482040366
"UKR","weapons",7,677,0.0103397341211226,1.13615020798717,0.0117474910722455
"UKR","world",7,677,0.0103397341211226,0.0159154553058996,0.000164561576279612
"ZAF","continent",7,1054,0.00664136622390892,1.08814098880081,0.00722674280987258
"ZAF","sustainable",7,1054,0.00664136622390892,0.123060092757227,0.000817287143548947
"BRA","agenda",6,1130,0.00530973451327434,0.341749293722057,0.00181459801976313
"BRA","country",6,1130,0.00530973451327434,0.0995295953470331,0.00052847572750637
"RUS","military",6,1326,0.00452488687782805,0.864997437486605,0.00391401555423803
"RUS","russia",6,1326,0.00452488687782805,1.23969088692802,0.0056094610268236
"RUS","time",6,1326,0.00452488687782805,0.147157644336288,0.000665871693829356
"UKR","aggression",6,677,0.00886262924667651,1.22167238142534,0.0108272293774771
"UKR","children",6,677,0.00886262924667651,1.01291756756323,0.00897711285875829
"UKR","food",6,677,0.00886262924667651,0.434839716788069,0.00385382319162247
"UKR","formula",6,677,0.00886262924667651,2.76211742237249,0.0244796226502731
"UKR","people",6,677,0.00886262924667651,0.0212773984472849,0.000188573693772096
"UKR","power",6,677,0.00886262924667651,0.71442457900723,0.00633168016845403
"UKR","united",6,677,0.00886262924667651,0.065240521868401,0.000578202557179329
"ZAF","achieve",6,1054,0.00569259962049336,0.434839716788069,0.0024753684067632
"ZAF","council",6,1054,0.00569259962049336,0.23638877806423,0.00134566666829733
"BRA","assembly",5,1130,0.00442477876106195,0.0485270408946604,0.000214721419887878
"BRA","climate",5,1130,0.00442477876106195,0.0765400771223344,0.000338672907620949
"BRA","crisis",5,1130,0.00442477876106195,0.349184272209575,0.0015450631513698
"BRA","development",5,1130,0.00442477876106195,0.0708743395866571,0.000313603272507332
"BRA","economic",5,1130,0.00442477876106195,0.171850256926659,0.00076039936693212
"BRA","fight",5,1130,0.00442477876106195,1.02751636698438,0.00454653259727601
"BRA","inequalities",5,1130,0.00442477876106195,2.02814824729229,0.00897410728890392
"BRA","overcome",5,1130,0.00442477876106195,1.29578035357906,0.00573354138751796
"BRA","social",5,1130,0.00442477876106195,0.451233526563745,0.00199660852461834
"IND","excellencies",5,814,0.00614250614250614,0.672313093657103,0.00412968730747606
"IND","future",5,814,0.00614250614250614,0.22314355131421,0.00137066063460817
"IND","international",5,814,0.00614250614250614,0.0320883145515004,0.000197102669235261
"RUS","allies",5,1326,0.00377073906485671,2.35665231426432,0.00888632094368145
"RUS","country",5,1326,0.00377073906485671,0.0995295953470331,0.000375300133284438
"RUS","economic",5,1326,0.00377073906485671,0.171850256926659,0.000648002477099017
"RUS","international",5,1326,0.00377073906485671,0.0320883145515004,0.000120996661204753
"RUS","nuclear",5,1326,0.00377073906485671,1.23969088692802,0.00467455085568633
"RUS","political",5,1326,0.00377073906485671,0.243077766215027,0.000916582828865109
"RUS","russian",5,1326,0.00377073906485671,1.44036158239017,0.00543122768623743
"RUS","situation",5,1326,0.00377073906485671,0.703729289890482,0.00265357952447392
"UKR","assembly",5,677,0.00738552437223043,0.0485270408946604,0.000358397643239737
"UKR","countries",5,677,0.00738552437223043,0.0375379193190652,0.000277237218013776
"UKR","global",5,677,0.00738552437223043,0.0765400771223344,0.000565288605039397
"ZAF","actions",5,1054,0.0047438330170778,0.693147180559945,0.00328817448083465
"ZAF","building",5,1054,0.0047438330170778,0.602633173019113,0.00285879114335443
"ZAF","call",5,1054,0.0047438330170778,0.25659148538175,0.00121722716025498
"ZAF","climate",5,1054,0.0047438330170778,0.0765400771223344,0.000363093344982611
"ZAF","ensure",5,1054,0.0047438330170778,0.402836985701895,0.00191099139327275
"ZAF","humanity",5,1054,0.0047438330170778,0.593063722002963,0.0028133952656687
"ZAF","international",5,1054,0.0047438330170778,0.0320883145515004,0.000152221606031786
"ZAF","president",5,1054,0.0047438330170778,0.010582109330537,5.01997596325285e-05
"ZAF","qualities",5,1054,0.0047438330170778,4.14841178349238,0.0196793727869657
"ZAF","security",5,1054,0.0047438330170778,0.0596382663197312,0.00028291397684882
"BRA","20",4,1130,0.00353982300884956,1.81303686767534,0.0064178296200897
"BRA","ago",4,1130,0.00353982300884956,0.736164565643636,0.00260589226776508
"BRA","based",4,1130,0.00353982300884956,0.451233526563745,0.00159728681969467
"BRA","billion",4,1130,0.00353982300884956,0.864997437486605,0.00306193783181099
"BRA","dialogue",4,1130,0.00353982300884956,0.583584978048419,0.00206578753291476
"BRA","equality",4,1130,0.00353982300884956,0.864997437486605,0.00306193783181099
"BRA","excellency",4,1130,0.00353982300884956,0.0266682470821613,9.44008746271196e-05
"BRA","human",4,1130,0.00353982300884956,0.165619707176023,0.000586264450180613
"BRA","hunger",4,1130,0.00353982300884956,1.25804002559621,0.00445323902865916
"BRA","peace",4,1130,0.00353982300884956,0.0430173850836909,0.000152273929499791
"BRA","people",4,1130,0.00353982300884956,0.0212773984472849,7.53182245921589e-05
"IND","action",4,814,0.00491400491400491,0.298264181782318,0.00146567165494996
"IND","delhi",4,814,0.00491400491400491,3.30111392310517,0.0162216900398289
"IND","economic",4,814,0.00491400491400491,0.171850256926659,0.00084447300701061
"IND","equally",4,814,0.00491400491400491,1.66350513370438,0.0081744724014957
"IND","food",4,814,0.00491400491400491,0.434839716788069,0.00213680450510107
"IND","progress",4,814,0.00491400491400491,0.284179441900579,0.00139645917395862
"IND","security",4,814,0.00491400491400491,0.0596382663197312,0.000293062733757893
"IND","south",4,814,0.00491400491400491,0.80437281567017,0.00395269196889518
"IND","summit",4,814,0.00491400491400491,0.510825623765991,0.0025101996253857
"IND","united",4,814,0.00491400491400491,0.065240521868401,0.000320592245053567
"RUS","commitments",4,1326,0.00301659125188537,0.840304824896233,0.00253485618369904
"RUS","community",4,1326,0.00301659125188537,0.197168064910949,0.000594775459761536
"RUS","council",4,1326,0.00301659125188537,0.23638877806423,0.000713088319952429
"RUS","equality",4,1326,0.00301659125188537,0.864997437486605,0.00260934370282535
"RUS","fair",4,1326,0.00301659125188537,1.07263680226485,0.00323570679416244
"RUS","majority",4,1326,0.00301659125188537,1.6094379124341,0.00485501632710136
"RUS","neocolonial",4,1326,0.00301659125188537,3.63758615972639,0.0109731105874099
"RUS","president",4,1326,0.00301659125188537,0.010582109330537,3.19218984329925e-05
"RUS","region",4,1326,0.00301659125188537,0.426742506555449,0.0012873077120828
"RUS","rules",4,1326,0.00301659125188537,1.05736933013406,0.0031896510712943
"RUS","runs",4,1326,0.00301659125188537,2.84912879936212,0.00859465701165042
"RUS","ukraine",4,1326,0.00301659125188537,0.502091943797236,0.00151460616530086
"UKR","aggressor",4,677,0.00590841949778434,3.04979949482427,0.0180194947995525
"UKR","black",4,677,0.00590841949778434,1.87972824217401,0.0111062229965968
"UKR","energy",4,677,0.00590841949778434,0.451233526563745,0.00266607696640322
"UKR","final",4,677,0.00590841949778434,2.30258509299405,0.0136046386587536
"UKR","green",4,677,0.00590841949778434,0.984344195119171,0.00581591843497294
"UKR","land",4,677,0.00590841949778434,1.22167238142534,0.00721815291831809
"UKR","leaders",4,677,0.00590841949778434,0.71442457900723,0.00422112011230269
"UKR","nation",4,677,0.00590841949778434,0.852574917488047,0.00503737026580826
"UKR","nukes",4,677,0.00590841949778434,5.24702407216049,0.0310016193332968
"UKR","president",4,677,0.00590841949778434,0.010582109330537,6.25235410962305e-05
"UKR","real",4,677,0.00590841949778434,1.07263680226485,0.00633758819654268
"UKR","security",4,677,0.00590841949778434,0.0596382663197312,0.000352367895537555
"UKR","threat",4,677,0.00590841949778434,0.68267588069265,0.00403353548415155
"ZAF","2030",4,1054,0.00379506641366224,0.356674943938732,0.00135360510033675
"ZAF","address",4,1054,0.00379506641366224,0.0995295953470331,0.000377721424466919
